DEPARTURES_PERFORMED,PASSENGERS,DISTANCE,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH
12.00,1443.00,998.00,CO,11618,EWR,15304,TPA,12
12.00,1443.00,2329.00,FL,12892,LAX,10821,BWI,9
12.00,1447.00,1105.00,WN,10423,AUS,11697,FLL,3
12.00,1447.00,1561.00,G4,11986,GRR,10466,AZA,4
12.00,1449.00,330.00,G4,12954,LGB,14716,SCK,11
12.00,1449.00,510.00,G4,11995,GSO,14761,SFB,4
12.00,1449.00,599.00,US,11057,CLT,13930,ORD,8
12.00,1449.00,680.00,WN,11697,FLL,14492,RDU,1
12.00,1449.00,853.00,UA,14679,SAN,11292,DEN,7
12.00,1450.00,879.00,U5,11193,CVG,14635,RSW,12
12.00,1450.00,1373.00,G4,14512,RFD,10466,AZA,4
12.00,1451.00,758.00,WN,10279,AMA,12889,LAS,2
12.00,1451.00,1085.00,F9,11267,DAY,11292,DEN,5
12.00,1453.00,313.00,WN,13198,MCI,13851,OKC,8
12.00,1453.00,396.00,B6,10721,BOS,10792,BUF,11
12.00,1453.00,700.00,DL,13244,MEM,13487,MSP,8
12.00,1453.00,967.00,WN,10821,BWI,13198,MCI,9
12.00,1454.00,906.00,DL,13487,MSP,10397,ATL,7
12.00,1454.00,1024.00,WN,14747,SEA,11292,DEN,3
12.00,1454.00,1542.00,AS,14057,PDX,10299,ANC,11
12.00,1458.00,1107.00,NK,11697,FLL,15024,STT,9
12.00,1458.00,2279.00,US,11057,CLT,14747,SEA,7
12.00,1459.00,1607.00,F9,11292,DEN,14635,RSW,8
12.00,1459.00,2457.00,UA,14771,SFO,10821,BWI,11
12.00,1460.00,236.00,KE,12889,LAS,12892,LAX,2
12.00,1461.00,998.00,WN,13495,MSY,10821,BWI,10
12.00,1463.00,1054.00,WN,10792,BUF,15304,TPA,1
12.00,1465.00,957.00,UA,13796,OAK,11292,DEN,12
12.00,1467.00,1065.00,CO,11697,FLL,11618,EWR,10
12.00,1470.00,1068.00,XP,13933,ORH,14761,SFB,8
12.00,1470.00,1532.00,SY,13487,MSP,14679,SAN,1
12.00,1471.00,338.00,WN,10693,BNA,11066,CMH,8
12.00,1475.00,1155.00,UA,11292,DEN,11066,CMH,12
12.00,1475.00,1504.00,CO,11618,EWR,10423,AUS,7
12.00,1476.00,449.00,G4,13204,MCO,11996,GSP,2
12.00,1476.00,663.00,WN,12451,JAX,10821,BWI,6
12.00,1476.00,992.00,WN,14635,RSW,14100,PHL,11
12.00,1476.00,1303.00,CO,14679,SAN,12266,IAH,8
12.00,1477.00,825.00,WN,13232,MDW,13495,MSY,11
12.00,1479.00,2383.00,AS,14831,SJC,12758,KOA,3
12.00,1480.00,282.00,DL,13487,MSP,13871,OMA,7
12.00,1480.00,310.00,G4,12889,LAS,14905,SMX,2
12.00,1480.00,845.00,CO,12339,IND,12266,IAH,11
12.00,1481.00,718.00,WN,13204,MCO,14730,SDF,3
12.00,1481.00,1092.00,G4,10627,BIS,10466,AZA,6
